bnf_name,bnf_code,dose_per_unit,quantity,total_ome
Dihydrocodeine Tart_Tab 30mg,0407020G0AAACAC,30.0,532070939.0,1596212817.0
Meptazinol HCl_Tab 200mg,0407020L0AAABAB,200.0,19754342.0,118526052.0
Morph Sulph_Cap 60mg M/R,0407020Q0AAEHEH,60.0,2449305.0,146958300.0
Morph Sulph_Tab 50mg,0407020Q0AADRDR,50.0,772827.0,38641350.0
Actiq_Loz 400mcg,0407020A0BCABAJ,0.4,57588.0,2303520.0
Papaveretum_Inj 40mg/ml 1ml Amp,0407020ABAAAKAK,40.0,529.0,21160.0
Tilofyl_Patch 100mcg/hr,0407020A0BDADAH,7.2,1971.0,1419120.0
Pethidine HCl_Cap 50mg,0407020V0AABFBF,50.0,279.0,1395.0
Morph Sulf_Suppos 5mg,0407020Q0AABJBJ,5.0,12.0,60.0
Shortec 10mg capsules,0407020ADBJABAD,10.0,27341088.0,546821760.0
Zomorph 100mg modified-release capsules,0407020Q0BKADEB,100.0,15281912.0,1528191200.0
Mezolar Matrix 37.5microgram/hour transdermal patches,0407020A0BFAFBW,0.3,498340.0,14950200.0
Morphine 90mg modified-release capsules,0407020Q0AADUDU,90.0,286588.0,25792920.0
Palexia SR 100mg tablets,0407020AGBBADAD,100.0,530373.0,21214920.0
Palladone SR 2mg capsules,040702050BBACAF,2.0,104287.0,1042870.0
Meptid 100mg/1ml solution for injection ampoules,0407020L0BBABAA,100.0,588.0,1764.0
Carexil 80mg modified-release tablets,0407020ADBDAEAI,80.0,770.0,123200.0
Mezolar Matrix_TransdermalPatch 50mcg/hr,0407020A0BFACAF,3.6,146470.0,52729200.0
Morph Sulph_Gran Sach 30mg M/R,0407020Q0AACPCP,30.0,196250.0,5887500.0
Targinact_Tab 40mg/20mg M/R,0407020AFBBADAD,40.0,573121.0,45849680.0
Actiq_Loz 1.2mg,0407020A0BCAEAN,1.2,37713.0,4525560.0
Victanyl_Transdermal Patch 100mcg/hr,0407020A0BMADAH,7.2,5840.0,4204800.0
Mabron_Tab 150mg M/R (Morningside),040702040BHABAD,150.0,43639.0,654585.0
Morph Sulf_Liq Spec 500mcg/5ml,0407020Q0AAFDFD,0.1,7555.0,755.5
Morph HCl_Liq Spec 20mg/5ml,0407020P0AAAYAY,4.0,1200.0,4800.0
MST Continus 30mg tablets,0407020Q0BBABAL,30.0,42610023.0,1278300690.0
Reltebon 5mg modified-release tablets,0407020ADBKAAAK,5.0,1251391.0,12513910.0
Maxitram SR 50mg capsules,040702040BPAAAG,50.0,5687992.0,28439960.0
Fentanyl 200microgram sublingual tablets sugar free,0407020A0AAAXAX,0.2,415689.0,10807914.0
Codis 500 dispersible tablets,0407010W0BHAAAD,8.0,67804.0,54243.2
Hydromorphone 10mg/1ml solution for injection ampoules,040702050AAANAN,10.0,1980.0,99000.0
Mabron_Tab 150mg M/R (Teva),040702040BHAEAD,150.0,12428.0,186420.0
Tradorec XL_Tab 100mg,040702040BIAAAC,100.0,400444.0,4004440.0
Dihydrocodeine Tart_Liq Spec 10mg/5ml,0407020G0AAAPAP,2.0,591149.0,118229.8
Maxitram SR_Cap 100mg,040702040BPABAH,100.0,1234262.0,12342620.0
Dextromoramide Tart_Tab 5mg,0407020D0AAADAD,5.0,41796.0,835920.0
Morph Sulph_Gel 2%,0407020Q0AAFQFQ,,568.0,
Tilodol SR_Tab 150mg,040702040BSABAD,150.0,288.0,4320.0
Tephine_Tab Subling 400mcg,0407020B0BFABAD,0.4,184.0,4416.0
Oramorph UDV_Oral Soln 10mg/5ml S/F,0407020Q0BCAHCS,10.0,454.0,4540.0
Tramadol 50mg capsules,040702040AAAAAA,50.0,4030022063.0,20150110315.0
Buprenorphine 70micrograms/hour transdermal patches,0407020B0AAAGAG,6.72,1086257.0,729964704.0
OxyNorm 10mg capsules,0407020ADBBADAD,10.0,10566973.0,211339460.0
Tradorec XL 200mg tablets,040702040BIABAE,200.0,504732.0,10094640.0
Morphine 100mg modified-release capsules,0407020Q0AAEBEB,100.0,2153517.0,215351700.0
Maneo 100mg modified-release tablets,040702040BUAAAC,100.0,84012.0,840120.0
Co-dydramol 7.46mg/500mg tablets,0407010N0AAAJAJ,7.46,33914.0,25299.84
Morphine sulfate 1mg/1ml solution for injection ampoules,0407020Q0AAA4A4,1.0,3258.0,6516.0
Tilofyl 75micrograms/hour transdermal patches,0407020A0BDACAG,5.4,1103.0,595620.0
Instanyl 100micrograms/dose nasal spray,0407020A0BNAHBR,0.6,3098.0,297408.0
Methadone 30mg capsules,0407020M0AABIBI,30.0,17898.0,1610820.0
Diamorphine 20mg impregnated cigarettes,0407020K0AAEUEU,20.0,6020.0,120400.0
Morph Sulf_Tab 30mg M/R,0407020Q0AAALAL,30.0,4096147.0,122884410.0
Zydol SR_Tab 200mg,040702040BBAEAE,200.0,1105564.0,22111280.0
Pethidine HCl_Inj 10mg/ml 10ml Amp,0407020V0AAALAL,100.0,183.0,4392.0
DHC Continus 120mg tablets,0407020G0BBACAF,120.0,2273057.0,27276684.0
Kapake 30mg/500mg capsules,0407010F0BHADAD,30.0,13929337.0,41788011.0
Effentora 100microgram buccal tablets,0407020A0BKAABC,0.1,171897.0,2234661.0
Tilodol SR 100mg tablets,040702040BSAAAC,100.0,64598.0,645980.0
Palladone SR 24mg capsules,040702050BBAGAB,24.0,32963.0,3955560.0
Zeridame SR 100mg tablets,040702040BLAAAC,100.0,115243.0,1152430.0
Morphine tartrate 15mg/1ml / Cyclizine tartrate 50mg inj amp,040702020AAABAB,15.0,2023.0,60690.0
Oxycodone 40mg/5ml / Naloxone 20mg/5ml oral suspension,0407020AFAAAEAE,8.0,1280.0,20480.0
Tramake 50mg capsules,040702040BCAAAA,50.0,100.0,500.0
Methadone HCl_Tab 5mg,0407020M0AAAEAE,5.0,20302351.0,304535265.0
Tramadol HCl_Tab 100mg M/R,040702040AAACAC,100.0,67386217.0,673862170.0
Zomorph_Cap 60mg,0407020Q0BKACEH,60.0,13836911.0,830214660.0
OxyContin_Tab 5mg M/R,0407020ADBCAEAK,5.0,4593752.0,45937520.0
Matrifen_Patch 75mcg/hr,0407020A0BEADAG,5.4,584917.0,315855180.0
Diamorph HCl_Inj 500mg Vl (Dry),0407020K0AAEIEI,500.0,2259.0,3388500.0
Palexia_SR Tab 200mg,0407020AGBBAFAF,200.0,20649.0,1651920.0
