,presentation,bnf_code,dose_per_unit_x,new_ome_multiplier,ome_dose,name,unit_dose,dose_per_unit_y,total_ome,ome_diff,ome_diff_multi
0,Mezolar Matrix 25micrograms/hour transdermal patches,0407020A0BFABAE,1.8,100.0,180.0,Fentanyl 25micrograms/hour transdermal patches,1,1.8,180.0,0.0,1.0
1,Morphine sulfate 20mg/ml oral solution sugar free,0407020Q0AAA6A6,20.0,1.0,20.0,Morphine sulfate 20mg/ml oral solution sugar free,1,20.0,20.0,0.0,1.0
2,Physeptone 50mg/5ml solution for injection ampoules,0407020M0BBAEAN,50.0,3.0,150.0,Methadone 50mg/5ml solution for injection ampoules,5,10.0,30.0,-120.0,0.2
3,Solpadol 30mg/500mg capsules,0407010F0BGACAD,30.0,0.1,3.0,Co-codamol 30mg/500mg capsules,1,30.0,3.0,0.0,1.0
4,Morphine tartrate 15mg/1ml / Cyclizine tartrate 50mg inj amp,040702020AAABAB,15.0,2.0,30.0,Morphine tartrate 15mg/1ml / Cyclizine tartrate 50mg/1ml solution for injection ampoules,1,15.0,30.0,0.0,1.0
5,Pethidine 100mg/2ml solution for injection ampoules,0407020V0AAAEAE,100.0,0.24,24.0,Pethidine 100mg/2ml solution for injection ampoules,2,50.0,12.0,-12.0,0.5
6,Tramquel SR 200mg capsules,040702040BJADAJ,200.0,0.1,20.0,Tramadol 200mg modified-release capsules,1,200.0,20.0,0.0,1.0
7,Zamadol SR 150mg capsules,040702040BDADAI,150.0,0.1,15.0,Tramadol 150mg modified-release capsules,1,150.0,15.0,0.0,1.0
8,Physeptone 35mg/3.5ml solution for injection ampoules,0407020M0BBADAT,35.0,3.0,105.0,Methadone 35mg/3.5ml solution for injection ampoules,3.5,10.0,30.0,-75.0,0.2857142857142857
9,Morphine sulfate 10mg/2ml solution for injection ampoules,0407020Q0AABCBC,10.0,2.0,20.0,Morphine sulfate 10mg/2ml solution for injection ampoules,2,5.0,10.0,-10.0,0.5
10,Morphine sulfate 2.5mg/5ml solution for injection ampoules,0407020Q0AAAEAE,2.5,2.0,5.0,Morphine sulfate 2.5mg/5ml solution for injection ampoules,5,0.5,1.0,-4.0,0.2
11,Diamorphine 60mg impregnated cigarettes,0407020K0AACGCG,60.0,1.0,60.0,Diamorphine 60mg impregnated cigarettes,1,60.0,60.0,0.0,1.0
12,MXL 90mg capsules,0407020Q0BIACDU,90.0,1.0,90.0,Morphine 90mg modified-release capsules,1,90.0,90.0,0.0,1.0
13,Bupeaze 52.5micrograms/hour transdermal patches,0407020B0BIABAF,5.04,100.0,504.0,Buprenorphine 52.5micrograms/hour transdermal patches,1,5.04,504.0,0.0,1.0
14,Diamorphine 10mg tablets,0407020K0AACBCB,10.0,1.0,10.0,Diamorphine 10mg tablets,1,10.0,10.0,0.0,1.0
15,Zamadol 24hr 200mg modified-release tablets,040702040BDAIAE,200.0,0.1,20.0,Tramadol 200mg modified-release tablets,1,200.0,20.0,0.0,1.0
16,Oxypro 5mg modified-release tablets,0407020ADBSAAAK,5.0,2.0,10.0,Oxycodone 5mg modified-release tablets,1,5.0,7.5,-2.5,0.75
17,MST Continus suspension 100mg granules sachets,0407020Q0BBAIDD,100.0,1.0,100.0,Morphine 100mg modified-release granules sachets sugar free,1,100.0,100.0,0.0,1.0
18,Durogesic DTrans 100micrograms/hour transdermal patches,0407020A0BBALAH,7.2,100.0,720.0,Fentanyl 100micrograms/hour transdermal patches,1,7.2,720.0,0.0,1.0
19,Zomorph 200mg modified-release capsules,0407020Q0BKAEEI,200.0,1.0,200.0,Morphine 200mg modified-release capsules,1,200.0,200.0,0.0,1.0
20,Hydromorphone 16mg modified-release capsules,040702050AAAAAA,16.0,5.0,80.0,Hydromorphone 16mg modified-release capsules,1,16.0,80.0,0.0,1.0
21,Morphine 50mg tablets,0407020Q0AADRDR,50.0,1.0,50.0,Morphine 50mg tablets,1,50.0,50.0,0.0,1.0
22,Palladone SR 2mg capsules,040702050BBACAF,2.0,5.0,10.0,Hydromorphone 2mg modified-release capsules,1,2.0,10.0,0.0,1.0
23,Oxycodone hydrochloride 60mg suppositories,0407020Z0AAABAB,60.0,2.0,120.0,Oxycodone hydrochloride 60mg suppositories,1,60.0,90.0,-30.0,0.75
24,Morphine tartrate 10mg/1ml / Cyclizine tartrate 50mg inj amp,040702020AAAAAA,10.0,2.0,20.0,Morphine tartrate 10mg/1ml / Cyclizine tartrate 50mg/1ml solution for injection ampoules,1,10.0,20.0,0.0,1.0
25,Morphine sulfate 60mg/5ml oral solution,0407020Q0AAESES,12.0,1.0,12.0,Morphine sulfate 60mg/5ml oral solution,1,12.0,12.0,0.0,1.0
26,Dihydrocodeine 30mg/5ml oral solution,0407020G0AAAMAM,6.0,0.1,0.6,Dihydrocodeine 30mg/5ml oral solution,1,6.0,0.6,0.0,1.0
27,Nobligan retard 100mg tablets,040702040BMAAAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
